"x"	"xend"	"y"	"yend"	"pval"	"rsq"	"x2"	"xend2"	"y2"	"yend2"
"1"	1	2	6	6	1.66695991038918e-05	0.403303792364569	1.05	1.95	6	6
"2"	1	2	5	6	0.00495026141673847	0.403303792364569	1.05	1.95	5.05	5.95
"3"	1	2	6	5	0.0155836766491328	0.706863805975539	1.05	1.95	5.95	5.05
"4"	1	2	5	5	1.13788771409005e-13	0.706863805975539	1.05	1.95	5	5
"5"	1	2	4	4	2.68736670359509e-07	0.429105926637524	1.05	1.95	4	4
"6"	1	2	1	4	0.0460471171017536	0.429105926637524	1.05	1.95	1.15	3.85
"7"	1	2	3	3	2.73035822332576e-07	0.46010671198552	1.05	1.95	3	3
"8"	1	2	2	2	0.00614389744414684	0.202024728116075	1.05	1.95	2	2
"9"	1	2	1	1	1.6291440966284e-21	0.811626107547261	1.05	1.95	1	1
"10"	2	3	6	6	4.0699078803218e-09	0.583625963458556	2.05	2.95	6	6
"11"	2	3	5	6	0.00586784014756651	0.583625963458556	2.05	2.95	5.05	5.95
"12"	2	3	2	6	0.0499438919986031	0.583625963458556	2.05	2.95	2.2	5.8
"13"	2	3	5	5	2.44643943250568e-18	0.760898591164064	2.05	2.95	5	5
"14"	2	3	6	4	0.0470511686120944	0.438492704844517	2.05	2.95	5.9	4.1
"15"	2	3	4	4	8.49573132936043e-07	0.438492704844517	2.05	2.95	4	4
"16"	2	3	5	3	0.0179463406816348	0.656654805541956	2.05	2.95	4.9	3.1
"17"	2	3	3	3	2.97005562323506e-11	0.656654805541956	2.05	2.95	3	3
"18"	2	3	2	2	0.0111667193245403	0.21353799569394	2.05	2.95	2	2
"19"	2	3	5	1	0.0410557101427103	0.834007779233257	2.05	2.95	4.8	1.2
"20"	2	3	1	1	2.24613395755924e-21	0.834007779233257	2.05	2.95	1	1
